iter	Passed	Remaining
431	1567	2060
432	1570	2056
433	1574	2053
434	1578	2050
435	1582	2046
436	1585	2042
437	1589	2038
438	1592	2034
439	1595	2030
440	1598	2026
441	1602	2022
442	1605	2018
443	1608	2014
444	1611	2009
445	1614	2005
446	1617	2000
447	1621	1997
448	1624	1993
449	1628	1990
450	1631	1986
451	1634	1982
452	1638	1978
453	1641	1974
454	1644	1970
455	1648	1966
456	1651	1962
457	1655	1958
458	1658	1954
459	1661	1950
460	1665	1946
461	1668	1942
462	1671	1938
463	1674	1934
464	1678	1930
465	1681	1926
466	1684	1922
467	1687	1918
468	1691	1914
469	1693	1910
470	1697	1906
471	1700	1902
472	1704	1898
473	1706	1894
474	1710	1890
475	1714	1887
476	1717	1883
477	1720	1879
478	1723	1874
479	1727	1871
480	1730	1867
481	1734	1864
482	1738	1860
483	1741	1856
484	1744	1852
485	1747	1848
486	1750	1844
487	1753	1840
488	1757	1836
489	1760	1832
490	1764	1828
491	1767	1824
492	1769	1820
493	1773	1816
494	1776	1812
495	1779	1808
496	1783	1804
497	1786	1800
498	1789	1796
499	1792	1792
500	1795	1788
501	1798	1784
502	1802	1780
503	1805	1776
504	1808	1772
505	1811	1768
506	1815	1764
507	1818	1760
508	1821	1756
509	1824	1752
510	1827	1748
511	1830	1744
512	1833	1740
513	1836	1736
514	1839	1732
515	1843	1729
516	1846	1725
517	1850	1721
518	1855	1719
519	1858	1715
520	1862	1711
521	1865	1708
522	1868	1704
523	1872	1701
524	1875	1697
525	1878	1693
526	1881	1688
527	1885	1685
528	1888	1681
529	1891	1677
530	1894	1673
531	1899	1670
532	1902	1666
533	1905	1662
534	1908	1658
535	1911	1655
536	1915	1651
537	1918	1647
538	1921	1643
539	1924	1639
540	1927	1635
541	1931	1631
542	1934	1627
543	1937	1623
544	1940	1620
545	1944	1616
546	1947	1612
547	1950	1609
548	1953	1605
549	1957	1601
550	1960	1597
551	1963	1593
552	1966	1589
553	1969	1585
554	1973	1582
555	1976	1578
556	1979	1574
557	1982	1570
558	1985	1566
559	1988	1562
560	1991	1558
561	1994	1554
562	1997	1550
563	2000	1546
564	2004	1543
565	2007	1539
566	2011	1535
567	2014	1532
568	2017	1528
569	2021	1524
570	2024	1520
571	2027	1517
572	2030	1513
573	2033	1509
574	2036	1505
575	2039	1501
576	2043	1497
577	2046	1494
578	2050	1490
579	2052	1486
580	2055	1482
581	2059	1478
582	2062	1474
583	2065	1471
584	2068	1467
585	2072	1464
586	2076	1461
587	2080	1457
588	2084	1454
589	2087	1450
590	2092	1447
591	2095	1444
592	2098	1440
593	2102	1436
594	2105	1432
595	2108	1429
596	2111	1425
597	2114	1421
598	2118	1418
599	2122	1415
600	2126	1411
601	2129	1407
602	2133	1404
603	2136	1400
604	2139	1397
605	2143	1393
606	2146	1389
607	2149	1385
608	2152	1382
609	2156	1378
610	2159	1374
611	2163	1371
612	2166	1367
613	2170	1364
614	2173	1360
615	2177	1357
616	2181	1353
617	2184	1350
618	2188	1346
619	2191	1343
620	2194	1339
621	2197	1335
622	2201	1332
623	2204	1328
624	2211	1326
625	2215	1323
626	2219	1320
627	2223	1317
628	2226	1313
629	2229	1309
630	2232	1305
631	2235	1301
632	2238	1297
633	2241	1294
634	2244	1290
635	2247	1286
636	2251	1283
637	2255	1279
638	2258	1275
639	2261	1271
640	2264	1267
641	2267	1264
642	2270	1260
643	2273	1256
644	2277	1253
645	2280	1249
646	2283	1245
647	2287	1242
648	2290	1238
649	2294	1235
650	2297	1231
651	2300	1227
652	2303	1224
653	2307	1220
654	2310	1217
655	2314	1213
656	2317	1209
657	2320	1205
658	2323	1202
659	2326	1198
660	2329	1194
661	2332	1191
662	2335	1187
663	2338	1183
664	2342	1179
665	2345	1176
666	2348	1172
667	2351	1168
668	2355	1165
669	2358	1161
670	2362	1158
671	2364	1154
672	2368	1150
673	2372	1147
674	2375	1143
675	2378	1140
676	2381	1136
677	2385	1132
678	2388	1129
679	2391	1125
680	2394	1121
681	2398	1118
682	2402	1114
683	2405	1111
684	2408	1107
685	2411	1103
686	2414	1100
687	2418	1096
688	2421	1093
689	2425	1089
690	2428	1085
691	2431	1082
692	2434	1078
693	2437	1074
694	2440	1071
695	2443	1067
696	2447	1063
697	2450	1060
698	2453	1056
699	2458	1053
700	2461	1049
701	2464	1046
702	2467	1042
703	2470	1038
704	2473	1035
705	2476	1031
706	2479	1027
707	2482	1024
708	2486	1020
709	2490	1017
710	2494	1013
711	2496	1010
712	2499	1006
713	2503	1002
714	2506	998
715	2509	995
716	2512	991
717	2515	988
718	2519	984
719	2522	981
720	2527	977
721	2530	974
722	2534	970
723	2536	967
724	2540	963
725	2543	959
726	2546	956
727	2549	952
728	2553	949
729	2556	945
730	2559	941
731	2562	938
732	2565	934
733	2569	931
734	2573	927
735	2576	924
736	2579	920
737	2582	916
738	2586	913
739	2589	909
740	2592	906
741	2596	902
742	2599	899
743	2602	895
744	2606	892
745	2609	888
746	2612	884
747	2615	881
748	2618	877
749	2621	873
750	2625	870
751	2628	866
752	2631	863
753	2636	860
754	2639	856
755	2642	852
756	2645	849
757	2649	845
758	2652	842
759	2655	838
760	2658	834
761	2661	831
762	2665	828
763	2669	824
764	2673	821
765	2676	817
766	2679	813
767	2682	810
768	2685	806
769	2688	803
770	2691	799
771	2695	796
772	2699	792
773	2702	789
774	2706	785
775	2709	782
776	2712	778
777	2715	774
778	2718	771
779	2722	767
780	2725	764
781	2728	760
782	2731	756
783	2734	753
784	2737	749
785	2741	746
786	2744	742
787	2747	739
788	2750	735
789	2754	732
790	2757	728
791	2760	724
792	2763	721
793	2766	717
794	2769	714
795	2773	710
796	2776	707
797	2779	703
798	2782	700
799	2786	696
800	2789	693
801	2793	689
802	2797	686
803	2800	682
804	2804	679
805	2808	675
806	2811	672
807	2815	668
808	2817	665
809	2821	661
810	2824	658
811	2827	654
812	2830	651
813	2834	647
814	2837	644
815	2840	640
816	2843	636
817	2846	633
818	2850	629
819	2853	626
820	2857	623
821	2860	619
822	2864	615
823	2867	612
824	2870	608
825	2874	605
826	2877	601
827	2880	598
828	2883	594
829	2886	591
830	2889	587
831	2892	583
832	2895	580
833	2898	576
834	2901	573
835	2904	569
836	2907	566
837	2911	562
838	2913	559
839	2917	555
840	2920	552
841	2922	548
842	2925	544
843	2929	541
844	2932	537
845	2935	534
846	2938	530
847	2941	527
848	2945	523
849	2948	520
850	2951	516
851	2954	513
852	2958	509
853	2961	506
854	2966	503
855	2969	499
856	2973	496
857	2976	492
858	2979	489
859	2982	485
860	2985	482
861	2988	478
862	2992	475
863	2995	471
864	2999	468
865	3002	464
866	3006	461
867	3009	457
868	3012	454
869	3016	450
870	3020	447
871	3023	443
872	3026	440
873	3030	436
874	3033	433
875	3036	429
876	3039	426
877	3042	422
878	3046	419
879	3049	415
880	3052	412
881	3056	408
882	3059	405
883	3063	401
884	3066	398
885	3069	394
886	3073	391
887	3077	388
888	3081	384
889	3084	381
890	3089	377
891	3092	374
892	3096	371
893	3099	367
894	3102	364
895	3106	360
896	3109	357
897	3112	353
898	3115	350
899	3118	346
900	3122	343
901	3126	339
902	3129	336
903	3133	332
904	3136	329
905	3140	325
906	3143	322
907	3147	318
908	3150	315
909	3154	311
910	3157	308
911	3161	305
912	3165	301
913	3168	298
914	3171	294
915	3174	291
916	3177	287
917	3180	284
918	3184	280
919	3187	277
920	3190	273
921	3194	270
922	3197	266
923	3201	263
924	3204	259
925	3207	256
926	3210	252
927	3215	249
928	3219	246
929	3222	242
930	3225	239
931	3229	235
932	3232	232
933	3235	228
934	3239	225
935	3243	221
936	3246	218
937	3249	214
938	3252	211
939	3255	207
940	3258	204
941	3261	200
942	3264	197
943	3268	193
944	3271	190
945	3275	186
946	3278	183
947	3281	179
948	3284	176
949	3287	173
950	3290	169
951	3294	166
952	3297	162
953	3300	159
954	3303	155
955	3306	152
956	3309	148
957	3313	145
958	3316	141
959	3319	138
960	3323	134
961	3326	131
962	3330	127
963	3332	124
964	3336	121
965	3339	117
966	3342	114
967	3346	110
968	3349	107
969	3352	103
970	3355	100
971	3358	96
972	3361	93
973	3365	89
974	3368	86
975	3372	82
976	3375	79
977	3378	76
978	3381	72
979	3384	69
980	3388	65
981	3391	62
982	3394	58
983	3397	55
984	3400	51
985	3403	48
986	3407	44
987	3409	41
988	3413	37
989	3416	34
990	3419	31
991	3422	27
992	3425	24
993	3428	20
994	3432	17
995	3435	13
996	3438	10
997	3442	6
998	3445	3
999	3448	0
